Marker Loglikelihood AverageProb Beta_0 NumError
ARS-BFGL-NGS-44057_CC -379.6288429608910025836 0.7207488299531981279403 0.948179085240983853802 0
ARS-BFGL-NGS-44057_CT -353.4265531732293770251 0.2402496099843993759756 -1.15131152066896063214 0
ARS-BFGL-NGS-44057_TT -105.6098567277962938932 0.03900156006240249610112 -3.204371138665319028319 0
DPI-28_AA -43.0561609934473566684 0.01242236024844720496878 -4.375757021660286216411 0
DPI-28_AG -291.2318967478381354919 0.1677018633540372670785 -1.602002933946582294918 0
DPI-28_GG -303.6986796459593712094 0.8198757763975155279392 1.515506092599896827166 0
Hapmap41762-BTA-117570_CC -395.7401382801089985974 0.6956521739130434782514 0.8266785731844679325532 0
Hapmap41762-BTA-117570_CT -345.9351463847050144884 0.2282608695652173912979 -1.218157439317892424819 0
Hapmap41762-BTA-117570_TT -173.3047487041333168528 0.07608695652173913043714 -2.496741107435003149701 0
BTA-73842-no-rs_CC -424.6909469542543563159 0.4176000000000000000086 -0.3326334603140472500607 0
BTA-73842-no-rs_CT -411.7140316913307050706 0.3696000000000000000123 -0.5339331987761402756668 0
BTA-73842-no-rs_TT -323.5268185175420936062 0.2128000000000000000062 -1.308129588270554348938 0
ARS-BFGL-NGS-106520_AA -425.2730273128211868072 0.3726708074534161490633 -0.5207759546191587660471 0
ARS-BFGL-NGS-106520_AG -425.7904841754426322475 0.3742236024844720496878 -0.5141396284560279864831 0
ARS-BFGL-NGS-106520_GG -364.3245399588303396476 0.253105590062111801249 -1.082117069298998846406 0
Hapmap28985-BTA-73836_CC -394.0720845089536217287 0.3012422360248447204996 -0.8413894237010373098663 0
Hapmap28985-BTA-73836_CG -428.2785236686362714265 0.3819875776397515527831 -0.4811204693520749001438 0
Hapmap28985-BTA-73836_GG -402.1206210255685716271 0.3167701863354037267173 -0.7686547330680904564532 0
BTA-122374-no-rs_AA -434.7607524437933337325 0.4052795031055900621232 -0.3835145818579525800625 0
BTA-122374-no-rs_AG -434.374015353479405066 0.4037267080745341614988 -0.3899609215721991278597 0
BTA-122374-no-rs_GG -314.0535321468922116406 0.1909937888198757763915 -1.443565686380949422869 0
Hapmap23956-BTA-36867_GG -271.1816959827789362825 0.1490683229813664596253 -1.741927095480179295728 0
Hapmap23956-BTA-36867_GT -433.9808279302265246191 0.4021739130434782608743 -0.3964152725882464742713 0
Hapmap23956-BTA-36867_TT -442.9988514829382259541 0.4487577639751552795004 -0.2056911013629836354255 0
ARS-BFGL-NGS-46098_CC -402.8856915478298286459 0.6816770186335403726853 0.7614894339367631715494 0
ARS-BFGL-NGS-46098_CT -356.5465244239401263471 0.2422360248447204968911 -1.1404593986036101308 0
ARS-BFGL-NGS-46098_TT -173.3047487041333168528 0.07608695652173913043714 -2.496741107435003149701 0
